variable,distribution,param_1,param_2,log_likelihood,aic,overall_mean,overall_variance,normal_state_mean,disrupted_state_mean,selected
total_delay_count,poisson,241.207381370826,,-88187.13830257909,176376.27660515817,241.207381370826,91192.93226936311,207.125,340.8689655172414,False
total_delay_count,negative_binomial,0.6396910108018449,0.0026450227596405656,-3643.40776874896,7290.81553749792,241.207381370826,91192.93226936311,207.125,340.8689655172414,True
cancellation_count,poisson,32.03866432337434,,-22157.280975402326,44316.56195080465,32.03866432337434,4403.523150325504,14.14622641509434,84.35862068965517,False
cancellation_count,negative_binomial,0.2348117704438217,0.007275688858591803,-2229.6333683659423,4463.2667367318845,32.03866432337434,4403.523150325504,14.14622641509434,84.35862068965517,True
diversion_count,poisson,3.2917398945518452,,-2351.28318505092,4704.56637010184,3.2917398945518452,29.826709819549986,2.6037735849056602,5.303448275862069,False
diversion_count,negative_binomial,0.4083498705297648,0.11036215239517524,-1263.8976149111468,2531.7952298222935,3.2917398945518452,29.826709819549986,2.6037735849056602,5.303448275862069,True
internal_ops_count,poisson,151.00527240773286,,-62721.378145884446,125444.75629176889,151.00527240773286,45234.00173271616,132.64858490566039,204.68275862068967,False
internal_ops_count,negative_binomial,0.5057914088520993,0.003338313362147573,-3381.1395231058486,6766.279046211697,151.00527240773286,45234.00173271616,132.64858490566039,204.68275862068967,True
system_ops_count,poisson,82.63620386643234,,-29554.10759496929,59110.21518993858,82.63620386643234,8708.566363028789,68.42216981132076,124.2,False
system_ops_count,negative_binomial,0.7916528494264657,0.009489070924148293,-3021.754107163254,6047.508214326508,82.63620386643234,8708.566363028789,68.42216981132076,124.2,True
external_ops_count,poisson,7.57469244288225,,-3373.769242427854,6749.538484855708,7.57469244288225,69.8962598084111,6.061320754716981,12.0,False
external_ops_count,negative_binomial,0.9206438160923583,0.10837049741495229,-1749.49471287203,3502.98942574406,7.57469244288225,69.8962598084111,6.061320754716981,12.0,True
